request_number,industry,gender,nation,model
66,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
67,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
68,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
69,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
70,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
71,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
72,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
73,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
74,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
75,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
76,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
77,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
78,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
79,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
80,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
81,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
82,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
83,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
84,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
85,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
86,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
87,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
88,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
89,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
90,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
91,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
92,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
93,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
94,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
95,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
96,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
97,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
98,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
99,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
100,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
101,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
102,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
103,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
104,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
105,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
106,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
107,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
108,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
109,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
110,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
111,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
112,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
113,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
114,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
115,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
116,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
117,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
118,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
119,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
120,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
121,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
122,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
123,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
124,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
125,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
126,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
127,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
128,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
129,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
130,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
131,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
132,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
133,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
134,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
135,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
136,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
137,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
138,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
139,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
140,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
141,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
142,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
143,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
144,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
145,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
146,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
147,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
148,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
149,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
150,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
151,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
152,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
153,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
154,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
155,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
156,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
157,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
158,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
159,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
160,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
161,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
162,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
163,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
164,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
165,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
166,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
167,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
168,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
169,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
170,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
171,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
172,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
173,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
174,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
175,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
176,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
177,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
178,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
179,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
180,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
181,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
182,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
183,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
184,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
185,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
186,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
187,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
188,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
189,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
190,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
191,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
192,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
193,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
194,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
195,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
196,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
197,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
198,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
199,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
200,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
201,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
202,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
203,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
204,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
205,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
206,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
207,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
208,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
209,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
210,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
211,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
212,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
213,Environment,default,default,x-ai/grok-3-mini-beta
214,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
215,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
216,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
217,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
218,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
219,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
220,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
221,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
222,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
223,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
224,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
225,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
226,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
227,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
228,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
229,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
230,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
231,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
232,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
233,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
234,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
235,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
236,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
237,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
238,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
239,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
240,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
241,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
242,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
243,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
244,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
245,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
246,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
247,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
248,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
249,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
250,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
251,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
252,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
253,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
254,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
255,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
256,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
257,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
258,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
259,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
260,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
261,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
262,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
263,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
264,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
265,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
266,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
267,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
268,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
269,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
270,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
271,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
272,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
273,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
274,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
275,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
276,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
277,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
278,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
279,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
280,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
281,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
282,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
283,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
284,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
285,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
286,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
287,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
288,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
289,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
290,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
291,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
292,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
293,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
294,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
295,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
296,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
297,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
298,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
299,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
300,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
301,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
302,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
303,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
304,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
305,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
306,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
307,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
308,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
309,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
