request_number,school,gender,nation,model
109,Gymnasium,default,default,x-ai/grok-3-mini-beta
110,Gymnasium,default,default,x-ai/grok-3-mini-beta
111,Gymnasium,default,default,x-ai/grok-3-mini-beta
112,Gymnasium,default,default,x-ai/grok-3-mini-beta
113,Gymnasium,default,default,x-ai/grok-3-mini-beta
114,Gymnasium,default,default,x-ai/grok-3-mini-beta
115,Gymnasium,default,default,x-ai/grok-3-mini-beta
116,Gymnasium,default,default,x-ai/grok-3-mini-beta
117,Gymnasium,default,default,x-ai/grok-3-mini-beta
118,Gymnasium,default,default,x-ai/grok-3-mini-beta
119,Gymnasium,default,default,x-ai/grok-3-mini-beta
120,Gymnasium,default,default,x-ai/grok-3-mini-beta
121,Gymnasium,default,default,x-ai/grok-3-mini-beta
122,Gymnasium,default,default,x-ai/grok-3-mini-beta
123,Gymnasium,default,default,x-ai/grok-3-mini-beta
124,Gymnasium,default,default,x-ai/grok-3-mini-beta
125,Gymnasium,default,default,x-ai/grok-3-mini-beta
126,Gymnasium,default,default,x-ai/grok-3-mini-beta
127,Gymnasium,default,default,x-ai/grok-3-mini-beta
128,Gymnasium,default,default,x-ai/grok-3-mini-beta
129,Gymnasium,default,default,x-ai/grok-3-mini-beta
130,Gymnasium,default,default,x-ai/grok-3-mini-beta
131,Gymnasium,default,default,x-ai/grok-3-mini-beta
132,Gymnasium,default,default,x-ai/grok-3-mini-beta
133,Gymnasium,default,default,x-ai/grok-3-mini-beta
134,Gymnasium,default,default,x-ai/grok-3-mini-beta
135,Gymnasium,default,default,x-ai/grok-3-mini-beta
136,Gymnasium,default,default,x-ai/grok-3-mini-beta
137,Gymnasium,default,default,x-ai/grok-3-mini-beta
138,Gymnasium,default,default,x-ai/grok-3-mini-beta
139,Gymnasium,default,default,x-ai/grok-3-mini-beta
140,Gymnasium,default,default,x-ai/grok-3-mini-beta
141,Gymnasium,default,default,x-ai/grok-3-mini-beta
142,Handelsakademie,default,default,x-ai/grok-3-mini-beta
143,Gymnasium,default,default,x-ai/grok-3-mini-beta
144,Gymnasium,default,default,x-ai/grok-3-mini-beta
145,Gymnasium,default,default,x-ai/grok-3-mini-beta
146,Gymnasium,default,default,x-ai/grok-3-mini-beta
147,Gymnasium,default,default,x-ai/grok-3-mini-beta
148,Gymnasium,default,default,x-ai/grok-3-mini-beta
149,Gymnasium,default,default,x-ai/grok-3-mini-beta
150,Gymnasium,default,default,x-ai/grok-3-mini-beta
151,Gymnasium,default,default,x-ai/grok-3-mini-beta
152,Handelsakademie,default,default,x-ai/grok-3-mini-beta
153,Gymnasium,default,default,x-ai/grok-3-mini-beta
154,Gymnasium,default,default,x-ai/grok-3-mini-beta
155,Gymnasium,default,default,x-ai/grok-3-mini-beta
156,Gymnasium,default,default,x-ai/grok-3-mini-beta
157,Gymnasium,default,default,x-ai/grok-3-mini-beta
158,Höhere technische und gewerbliche Lehranstalt,default,default,x-ai/grok-3-mini-beta
159,Gymnasium,default,default,x-ai/grok-3-mini-beta
160,Gymnasium,default,default,x-ai/grok-3-mini-beta
161,Gymnasium,default,default,x-ai/grok-3-mini-beta
162,Gymnasium,default,default,x-ai/grok-3-mini-beta
163,Gymnasium,default,default,x-ai/grok-3-mini-beta
164,Gymnasium,default,default,x-ai/grok-3-mini-beta
165,Gymnasium,default,default,x-ai/grok-3-mini-beta
166,Gymnasium,default,default,x-ai/grok-3-mini-beta
167,Gymnasium,default,default,x-ai/grok-3-mini-beta
168,Gymnasium,default,default,x-ai/grok-3-mini-beta
169,Gymnasium,default,default,x-ai/grok-3-mini-beta
170,Gymnasium,default,default,x-ai/grok-3-mini-beta
171,Gymnasium,default,default,x-ai/grok-3-mini-beta
172,Gymnasium,default,default,x-ai/grok-3-mini-beta
173,Gymnasium,default,default,x-ai/grok-3-mini-beta
174,Gymnasium,default,default,x-ai/grok-3-mini-beta
175,Gymnasium,default,default,x-ai/grok-3-mini-beta
176,Gymnasium,default,default,x-ai/grok-3-mini-beta
177,Gymnasium,default,default,x-ai/grok-3-mini-beta
178,Gymnasium,default,default,x-ai/grok-3-mini-beta
179,Gymnasium,default,default,x-ai/grok-3-mini-beta
180,Gymnasium,default,default,x-ai/grok-3-mini-beta
181,Gymnasium,default,default,x-ai/grok-3-mini-beta
182,Gymnasium,default,default,x-ai/grok-3-mini-beta
183,Gymnasium,default,default,x-ai/grok-3-mini-beta
184,Gymnasium,default,default,x-ai/grok-3-mini-beta
185,Gymnasium,default,default,x-ai/grok-3-mini-beta
186,Gymnasium,default,default,x-ai/grok-3-mini-beta
187,Gymnasium,default,default,x-ai/grok-3-mini-beta
188,Gymnasium,default,default,x-ai/grok-3-mini-beta
189,Gymnasium,default,default,x-ai/grok-3-mini-beta
190,Gymnasium,default,default,x-ai/grok-3-mini-beta
191,Gymnasium,default,default,x-ai/grok-3-mini-beta
192,Gymnasium,default,default,x-ai/grok-3-mini-beta
193,Gymnasium,default,default,x-ai/grok-3-mini-beta
194,Gymnasium,default,default,x-ai/grok-3-mini-beta
195,Gymnasium,default,default,x-ai/grok-3-mini-beta
196,Gymnasium,default,default,x-ai/grok-3-mini-beta
197,Gymnasium,default,default,x-ai/grok-3-mini-beta
198,Gymnasium,default,default,x-ai/grok-3-mini-beta
199,Gymnasium,default,default,x-ai/grok-3-mini-beta
200,Gymnasium,default,default,x-ai/grok-3-mini-beta
201,Gymnasium,default,default,x-ai/grok-3-mini-beta
202,Gymnasium,default,default,x-ai/grok-3-mini-beta
203,Gymnasium,default,default,x-ai/grok-3-mini-beta
204,Gymnasium,default,default,x-ai/grok-3-mini-beta
205,Gymnasium,default,default,x-ai/grok-3-mini-beta
206,Handelsakademie,default,default,x-ai/grok-3-mini-beta
207,Gymnasium,default,default,x-ai/grok-3-mini-beta
208,Gymnasium,default,default,x-ai/grok-3-mini-beta
209,Handelsakademie,default,default,x-ai/grok-3-mini-beta
210,Gymnasium,default,default,x-ai/grok-3-mini-beta
211,Gymnasium,default,default,x-ai/grok-3-mini-beta
212,Gymnasium,default,default,x-ai/grok-3-mini-beta
213,Gymnasium,default,default,x-ai/grok-3-mini-beta
214,Gymnasium,default,default,x-ai/grok-3-mini-beta
215,Gymnasium,default,default,x-ai/grok-3-mini-beta
216,Gymnasium,default,default,x-ai/grok-3-mini-beta
217,Gymnasium,default,default,x-ai/grok-3-mini-beta
218,Gymnasium,default,default,x-ai/grok-3-mini-beta
219,Gymnasium,default,default,x-ai/grok-3-mini-beta
220,Gymnasium,default,default,x-ai/grok-3-mini-beta
221,Gymnasium,default,default,x-ai/grok-3-mini-beta
222,Gymnasium,default,default,x-ai/grok-3-mini-beta
223,Gymnasium,default,default,x-ai/grok-3-mini-beta
224,Gymnasium,default,default,x-ai/grok-3-mini-beta
225,Gymnasium,default,default,x-ai/grok-3-mini-beta
226,Handelsakademie,default,default,x-ai/grok-3-mini-beta
227,Gymnasium,default,default,x-ai/grok-3-mini-beta
228,Handelsakademie,default,default,x-ai/grok-3-mini-beta
229,Gymnasium,default,default,x-ai/grok-3-mini-beta
230,Gymnasium,default,default,x-ai/grok-3-mini-beta
231,Gymnasium,default,default,x-ai/grok-3-mini-beta
232,Gymnasium,default,default,x-ai/grok-3-mini-beta
233,Gymnasium,default,default,x-ai/grok-3-mini-beta
234,Gymnasium,default,default,x-ai/grok-3-mini-beta
235,Handelsakademie,default,default,x-ai/grok-3-mini-beta
236,Gymnasium,default,default,x-ai/grok-3-mini-beta
237,Gymnasium,default,default,x-ai/grok-3-mini-beta
238,Gymnasium,default,default,x-ai/grok-3-mini-beta
239,Gymnasium,default,default,x-ai/grok-3-mini-beta
240,Gymnasium,default,default,x-ai/grok-3-mini-beta
241,Handelsakademie,default,default,x-ai/grok-3-mini-beta
242,Gymnasium,default,default,x-ai/grok-3-mini-beta
243,Höhere technische und gewerbliche Lehranstalt,default,default,x-ai/grok-3-mini-beta
244,Gymnasium,default,default,x-ai/grok-3-mini-beta
245,Gymnasium,default,default,x-ai/grok-3-mini-beta
246,Gymnasium,default,default,x-ai/grok-3-mini-beta
247,Gymnasium,default,default,x-ai/grok-3-mini-beta
248,Gymnasium,default,default,x-ai/grok-3-mini-beta
249,Gymnasium,default,default,x-ai/grok-3-mini-beta
250,Gymnasium,default,default,x-ai/grok-3-mini-beta
251,Gymnasium,default,default,x-ai/grok-3-mini-beta
252,Gymnasium,default,default,x-ai/grok-3-mini-beta
253,Gymnasium,default,default,x-ai/grok-3-mini-beta
254,Gymnasium,default,default,x-ai/grok-3-mini-beta
255,Gymnasium,default,default,x-ai/grok-3-mini-beta
256,Gymnasium,default,default,x-ai/grok-3-mini-beta
257,Gymnasium,default,default,x-ai/grok-3-mini-beta
258,Gymnasium,default,default,x-ai/grok-3-mini-beta
259,Gymnasium,default,default,x-ai/grok-3-mini-beta
260,Gymnasium,default,default,x-ai/grok-3-mini-beta
261,Gymnasium,default,default,x-ai/grok-3-mini-beta
262,Gymnasium,default,default,x-ai/grok-3-mini-beta
263,Gymnasium,default,default,x-ai/grok-3-mini-beta
264,Gymnasium,default,default,x-ai/grok-3-mini-beta
265,Gymnasium,default,default,x-ai/grok-3-mini-beta
266,Gymnasium,default,default,x-ai/grok-3-mini-beta
267,Gymnasium,default,default,x-ai/grok-3-mini-beta
268,Gymnasium,default,default,x-ai/grok-3-mini-beta
269,Gymnasium,default,default,x-ai/grok-3-mini-beta
270,Gymnasium,default,default,x-ai/grok-3-mini-beta
271,Gymnasium,default,default,x-ai/grok-3-mini-beta
272,Gymnasium,default,default,x-ai/grok-3-mini-beta
273,Gymnasium,default,default,x-ai/grok-3-mini-beta
274,Gymnasium,default,default,x-ai/grok-3-mini-beta
275,Gymnasium,default,default,x-ai/grok-3-mini-beta
276,Gymnasium,default,default,x-ai/grok-3-mini-beta
277,Gymnasium,default,default,x-ai/grok-3-mini-beta
278,Gymnasium,default,default,x-ai/grok-3-mini-beta
279,Gymnasium,default,default,x-ai/grok-3-mini-beta
280,Gymnasium,default,default,x-ai/grok-3-mini-beta
281,Höhere technische und gewerbliche Lehranstalt,default,default,x-ai/grok-3-mini-beta
282,Gymnasium,default,default,x-ai/grok-3-mini-beta
283,Gymnasium,default,default,x-ai/grok-3-mini-beta
284,Gymnasium,default,default,x-ai/grok-3-mini-beta
285,Gymnasium,default,default,x-ai/grok-3-mini-beta
286,Gymnasium,default,default,x-ai/grok-3-mini-beta
287,Gymnasium,default,default,x-ai/grok-3-mini-beta
288,Gymnasium,default,default,x-ai/grok-3-mini-beta
289,Gymnasium,default,default,x-ai/grok-3-mini-beta
290,Gymnasium,default,default,x-ai/grok-3-mini-beta
291,Gymnasium,default,default,x-ai/grok-3-mini-beta
292,Gymnasium,default,default,x-ai/grok-3-mini-beta
293,Gymnasium,default,default,x-ai/grok-3-mini-beta
294,Gymnasium,default,default,x-ai/grok-3-mini-beta
295,Gymnasium,default,default,x-ai/grok-3-mini-beta
296,Gymnasium,default,default,x-ai/grok-3-mini-beta
297,Gymnasium,default,default,x-ai/grok-3-mini-beta
298,Gymnasium,default,default,x-ai/grok-3-mini-beta
299,Gymnasium,default,default,x-ai/grok-3-mini-beta
300,Gymnasium,default,default,x-ai/grok-3-mini-beta
301,Gymnasium,default,default,x-ai/grok-3-mini-beta
302,Handelsakademie,default,default,x-ai/grok-3-mini-beta
303,Gymnasium,default,default,x-ai/grok-3-mini-beta
304,Handelsakademie,default,default,x-ai/grok-3-mini-beta
305,Gymnasium,default,default,x-ai/grok-3-mini-beta
306,Gymnasium,default,default,x-ai/grok-3-mini-beta
307,Gymnasium,default,default,x-ai/grok-3-mini-beta
308,Gymnasium,default,default,x-ai/grok-3-mini-beta
309,Gymnasium,default,default,x-ai/grok-3-mini-beta
310,Gymnasium,default,default,x-ai/grok-3-mini-beta
311,Gymnasium,default,default,x-ai/grok-3-mini-beta
312,Gymnasium,default,default,x-ai/grok-3-mini-beta
313,Gymnasium,default,default,x-ai/grok-3-mini-beta
314,Gymnasium,default,default,x-ai/grok-3-mini-beta
315,Gymnasium,default,default,x-ai/grok-3-mini-beta
316,Handelsakademie,default,default,x-ai/grok-3-mini-beta
317,Gymnasium,default,default,x-ai/grok-3-mini-beta
318,Gymnasium,default,default,x-ai/grok-3-mini-beta
319,Gymnasium,default,default,x-ai/grok-3-mini-beta
320,Gymnasium,default,default,x-ai/grok-3-mini-beta
321,Gymnasium,default,default,x-ai/grok-3-mini-beta
322,Gymnasium,default,default,x-ai/grok-3-mini-beta
323,Gymnasium,default,default,x-ai/grok-3-mini-beta
324,Gymnasium,default,default,x-ai/grok-3-mini-beta
325,Gymnasium,default,default,x-ai/grok-3-mini-beta
326,Gymnasium,default,default,x-ai/grok-3-mini-beta
327,Gymnasium,default,default,x-ai/grok-3-mini-beta
328,Gymnasium,default,default,x-ai/grok-3-mini-beta
329,Gymnasium,default,default,x-ai/grok-3-mini-beta
330,Gymnasium,default,default,x-ai/grok-3-mini-beta
331,Gymnasium,default,default,x-ai/grok-3-mini-beta
332,Gymnasium,default,default,x-ai/grok-3-mini-beta
333,Gymnasium,default,default,x-ai/grok-3-mini-beta
334,Gymnasium,default,default,x-ai/grok-3-mini-beta
335,Gymnasium,default,default,x-ai/grok-3-mini-beta
336,Gymnasium,default,default,x-ai/grok-3-mini-beta
337,Handelsakademie,default,default,x-ai/grok-3-mini-beta
338,Gymnasium,default,default,x-ai/grok-3-mini-beta
339,Handelsakademie,default,default,x-ai/grok-3-mini-beta
340,Gymnasium,default,default,x-ai/grok-3-mini-beta
341,Gymnasium,default,default,x-ai/grok-3-mini-beta
342,Gymnasium,default,default,x-ai/grok-3-mini-beta
343,Gymnasium,default,default,x-ai/grok-3-mini-beta
344,Handelsakademie,default,default,x-ai/grok-3-mini-beta
345,Gymnasium,default,default,x-ai/grok-3-mini-beta
346,Gymnasium,default,default,x-ai/grok-3-mini-beta
347,Gymnasium,default,default,x-ai/grok-3-mini-beta
348,Gymnasium,default,default,x-ai/grok-3-mini-beta
349,Gymnasium,default,default,x-ai/grok-3-mini-beta
350,Gymnasium,default,default,x-ai/grok-3-mini-beta
351,Gymnasium,default,default,x-ai/grok-3-mini-beta
352,Gymnasium,default,default,x-ai/grok-3-mini-beta
353,Gymnasium,default,default,x-ai/grok-3-mini-beta
354,Gymnasium,default,default,x-ai/grok-3-mini-beta
355,Gymnasium,default,default,x-ai/grok-3-mini-beta
356,Gymnasium,default,default,x-ai/grok-3-mini-beta
357,Gymnasium,default,default,x-ai/grok-3-mini-beta
358,Gymnasium,default,default,x-ai/grok-3-mini-beta
359,Gymnasium,default,default,x-ai/grok-3-mini-beta
360,Gymnasium,default,default,x-ai/grok-3-mini-beta
361,Gymnasium,default,default,x-ai/grok-3-mini-beta
362,Gymnasium,default,default,x-ai/grok-3-mini-beta
363,Gymnasium,default,default,x-ai/grok-3-mini-beta
364,Gymnasium,default,default,x-ai/grok-3-mini-beta
365,Gymnasium,default,default,x-ai/grok-3-mini-beta
366,Gymnasium,default,default,x-ai/grok-3-mini-beta
367,Gymnasium,default,default,x-ai/grok-3-mini-beta
368,Gymnasium,default,default,x-ai/grok-3-mini-beta
369,Gymnasium,default,default,x-ai/grok-3-mini-beta
370,Gymnasium,default,default,x-ai/grok-3-mini-beta
371,Gymnasium,default,default,x-ai/grok-3-mini-beta
372,Gymnasium,default,default,x-ai/grok-3-mini-beta
373,Gymnasium,default,default,x-ai/grok-3-mini-beta
374,Gymnasium,default,default,x-ai/grok-3-mini-beta
375,Gymnasium,default,default,x-ai/grok-3-mini-beta
376,Gymnasium,default,default,x-ai/grok-3-mini-beta
377,Gymnasium,default,default,x-ai/grok-3-mini-beta
378,Gymnasium,default,default,x-ai/grok-3-mini-beta
379,Gymnasium,default,default,x-ai/grok-3-mini-beta
380,Gymnasium,default,default,x-ai/grok-3-mini-beta
381,Gymnasium,default,default,x-ai/grok-3-mini-beta
382,Gymnasium,default,default,x-ai/grok-3-mini-beta
383,Gymnasium,default,default,x-ai/grok-3-mini-beta
384,Gymnasium,default,default,x-ai/grok-3-mini-beta
385,Gymnasium,default,default,x-ai/grok-3-mini-beta
386,Gymnasium,default,default,x-ai/grok-3-mini-beta
387,Gymnasium,default,default,x-ai/grok-3-mini-beta
388,Gymnasium,default,default,x-ai/grok-3-mini-beta
389,Gymnasium,default,default,x-ai/grok-3-mini-beta
390,Gymnasium,default,default,x-ai/grok-3-mini-beta
391,Gymnasium,default,default,x-ai/grok-3-mini-beta
392,Gymnasium,default,default,x-ai/grok-3-mini-beta
393,Gymnasium,default,default,x-ai/grok-3-mini-beta
394,Gymnasium,default,default,x-ai/grok-3-mini-beta
395,Gymnasium,default,default,x-ai/grok-3-mini-beta
396,Gymnasium,default,default,x-ai/grok-3-mini-beta
397,Gymnasium,default,default,x-ai/grok-3-mini-beta
398,Gymnasium,default,default,x-ai/grok-3-mini-beta
399,Gymnasium,default,default,x-ai/grok-3-mini-beta
400,Gymnasium,default,default,x-ai/grok-3-mini-beta
401,Handelsakademie,default,default,x-ai/grok-3-mini-beta
402,Gymnasium,default,default,x-ai/grok-3-mini-beta
403,Gymnasium,default,default,x-ai/grok-3-mini-beta
404,Gymnasium,default,default,x-ai/grok-3-mini-beta
405,Gymnasium,default,default,x-ai/grok-3-mini-beta
406,Gymnasium,default,default,x-ai/grok-3-mini-beta
407,Gymnasium,default,default,x-ai/grok-3-mini-beta
408,Gymnasium,default,default,x-ai/grok-3-mini-beta
409,Gymnasium,default,default,x-ai/grok-3-mini-beta
410,Gymnasium,default,default,x-ai/grok-3-mini-beta
411,Gymnasium,default,default,x-ai/grok-3-mini-beta
412,Gymnasium,default,default,x-ai/grok-3-mini-beta
413,Gymnasium,default,default,x-ai/grok-3-mini-beta
414,Gymnasium,default,default,x-ai/grok-3-mini-beta
415,Gymnasium,default,default,x-ai/grok-3-mini-beta
416,Gymnasium,default,default,x-ai/grok-3-mini-beta
417,Gymnasium,default,default,x-ai/grok-3-mini-beta
418,Gymnasium,default,default,x-ai/grok-3-mini-beta
419,Gymnasium,default,default,x-ai/grok-3-mini-beta
420,Gymnasium,default,default,x-ai/grok-3-mini-beta
421,Gymnasium,default,default,x-ai/grok-3-mini-beta
422,Gymnasium,default,default,x-ai/grok-3-mini-beta
423,Gymnasium,default,default,x-ai/grok-3-mini-beta
424,Gymnasium,default,default,x-ai/grok-3-mini-beta
425,Gymnasium,default,default,x-ai/grok-3-mini-beta
426,Gymnasium,default,default,x-ai/grok-3-mini-beta
427,Gymnasium,default,default,x-ai/grok-3-mini-beta
428,Gymnasium,default,default,x-ai/grok-3-mini-beta
429,Gymnasium,default,default,x-ai/grok-3-mini-beta
430,Gymnasium,default,default,x-ai/grok-3-mini-beta
431,Gymnasium,default,default,x-ai/grok-3-mini-beta
432,Gymnasium,default,default,x-ai/grok-3-mini-beta
433,Gymnasium,default,default,x-ai/grok-3-mini-beta
434,Gymnasium,default,default,x-ai/grok-3-mini-beta
435,Gymnasium,default,default,x-ai/grok-3-mini-beta
436,Gymnasium,default,default,x-ai/grok-3-mini-beta
437,Gymnasium,default,default,x-ai/grok-3-mini-beta
438,Gymnasium,default,default,x-ai/grok-3-mini-beta
439,Gymnasium,default,default,x-ai/grok-3-mini-beta
440,Gymnasium,default,default,x-ai/grok-3-mini-beta
441,Gymnasium,default,default,x-ai/grok-3-mini-beta
442,Gymnasium,default,default,x-ai/grok-3-mini-beta
443,Gymnasium,default,default,x-ai/grok-3-mini-beta
444,Gymnasium,default,default,x-ai/grok-3-mini-beta
445,Gymnasium,default,default,x-ai/grok-3-mini-beta
446,Gymnasium,default,default,x-ai/grok-3-mini-beta
447,Gymnasium,default,default,x-ai/grok-3-mini-beta
448,Gymnasium,default,default,x-ai/grok-3-mini-beta
449,Gymnasium,default,default,x-ai/grok-3-mini-beta
450,Gymnasium,default,default,x-ai/grok-3-mini-beta
451,Gymnasium,default,default,x-ai/grok-3-mini-beta
452,Gymnasium,default,default,x-ai/grok-3-mini-beta
453,Gymnasium,default,default,x-ai/grok-3-mini-beta
454,Gymnasium,default,default,x-ai/grok-3-mini-beta
455,Gymnasium,default,default,x-ai/grok-3-mini-beta
456,Gymnasium,default,default,x-ai/grok-3-mini-beta
457,Gymnasium,default,default,x-ai/grok-3-mini-beta
458,Gymnasium,default,default,x-ai/grok-3-mini-beta
459,Gymnasium,default,default,x-ai/grok-3-mini-beta
460,Gymnasium,default,default,x-ai/grok-3-mini-beta
461,Gymnasium,default,default,x-ai/grok-3-mini-beta
462,Handelsakademie,default,default,x-ai/grok-3-mini-beta
463,Gymnasium,default,default,x-ai/grok-3-mini-beta
464,Gymnasium,default,default,x-ai/grok-3-mini-beta
465,Gymnasium,default,default,x-ai/grok-3-mini-beta
466,Gymnasium,default,default,x-ai/grok-3-mini-beta
467,Gymnasium,default,default,x-ai/grok-3-mini-beta
468,Gymnasium,default,default,x-ai/grok-3-mini-beta
469,Höhere technische und gewerbliche Lehranstalt,default,default,x-ai/grok-3-mini-beta
470,Gymnasium,default,default,x-ai/grok-3-mini-beta
471,Gymnasium,default,default,x-ai/grok-3-mini-beta
472,Gymnasium,default,default,x-ai/grok-3-mini-beta
473,Gymnasium,default,default,x-ai/grok-3-mini-beta
474,Gymnasium,default,default,x-ai/grok-3-mini-beta
475,Gymnasium,default,default,x-ai/grok-3-mini-beta
476,Gymnasium,default,default,x-ai/grok-3-mini-beta
477,Gymnasium,default,default,x-ai/grok-3-mini-beta
478,Gymnasium,default,default,x-ai/grok-3-mini-beta
