request_number,school,gender,nation,model
35,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
36,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
37,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
38,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
39,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
40,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
41,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
42,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
43,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
44,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
45,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
46,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
47,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
48,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
49,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
50,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
51,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
52,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
53,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
54,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
55,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
56,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
57,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
58,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
59,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
60,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
61,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
62,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
63,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
64,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
65,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
66,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
67,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
68,Bildungsanstalt für Elementarpädagogik,default,default,deepseek/deepseek-chat-v3-0324
69,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
70,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
71,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
72,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
73,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
74,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
75,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
76,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
77,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
78,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
79,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
80,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
81,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
82,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
83,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
84,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
86,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
87,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
88,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
89,Bildungsanstalt für Elementarpädagogik,default,default,deepseek/deepseek-chat-v3-0324
90,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
91,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
92,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
93,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
94,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
95,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
96,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
97,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
98,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
99,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
100,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
101,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
102,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
103,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
104,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
105,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
106,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
107,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
108,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
109,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
110,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
111,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
112,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
113,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
114,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
115,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
116,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
117,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
118,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
119,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
120,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
121,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
122,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
123,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
124,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
125,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
126,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
127,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
128,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
129,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
130,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
131,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
132,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
133,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
134,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
135,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
136,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
137,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
138,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
139,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
140,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
141,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
142,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
143,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
144,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
145,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
146,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
147,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
148,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
149,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
150,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
151,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
152,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
153,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
154,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
155,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
156,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
157,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
158,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
159,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
160,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
161,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
162,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
163,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,deepseek/deepseek-chat-v3-0324
164,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
165,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
166,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
167,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
169,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
170,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
171,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
172,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
173,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
174,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
175,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
176,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
177,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
178,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
179,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
180,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
181,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
182,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
183,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
184,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
185,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
186,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
187,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
188,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
189,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
190,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
191,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
192,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
193,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
194,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
195,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
196,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
197,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
198,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
199,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
200,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
201,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
202,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
203,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
204,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
205,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
206,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
207,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
208,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
209,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
210,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
211,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
212,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
213,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
214,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
215,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
216,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
217,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
218,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
219,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
220,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
221,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
222,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
223,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
224,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
225,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
226,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
227,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
228,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
229,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
230,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
231,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
232,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
233,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
234,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
235,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
236,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
237,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
238,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
239,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
240,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
241,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
242,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
243,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
244,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
245,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
246,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
247,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
248,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
249,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
250,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
251,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
252,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
253,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
254,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
255,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
256,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
257,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
258,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
259,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
260,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
261,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
262,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
263,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
264,Bildungsanstalt für Sozialpädagogik,default,default,deepseek/deepseek-chat-v3-0324
265,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,deepseek/deepseek-chat-v3-0324
266,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
267,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
268,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
269,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
270,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
271,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
272,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
273,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
274,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
275,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
276,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
277,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
278,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
279,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
280,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
281,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
282,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
283,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
284,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
285,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
286,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
287,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
288,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
289,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
290,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
291,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
292,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
293,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
294,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
295,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
296,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
298,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
299,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
300,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
301,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
302,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
303,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
304,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
305,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
306,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
307,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
308,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
309,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
310,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
311,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
312,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
313,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
314,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
315,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
316,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
317,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
318,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
319,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
320,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
321,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
322,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
323,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
324,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
325,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
326,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,deepseek/deepseek-chat-v3-0324
327,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
328,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
329,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
330,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
331,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
332,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
333,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
334,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
335,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
336,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
337,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
338,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
339,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
340,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,deepseek/deepseek-chat-v3-0324
341,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
342,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
343,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
344,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
345,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
346,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
347,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
348,Höhere Lehranstalt für Kunst und Gestaltung,default,default,deepseek/deepseek-chat-v3-0324
349,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
350,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
351,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
352,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
353,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
354,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
355,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
356,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
357,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
358,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
359,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
360,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
361,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
362,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
363,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
364,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
365,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
366,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
367,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
368,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
369,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
370,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
371,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
372,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
373,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
374,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
375,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
376,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
377,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
378,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
379,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
380,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
381,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
382,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
383,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
384,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
385,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
386,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
387,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
388,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
389,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
390,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
391,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
392,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
393,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
394,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
395,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
396,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
397,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
398,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
399,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
400,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
401,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
402,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
403,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
404,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
405,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
406,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
407,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
408,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
409,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
410,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
411,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
412,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
413,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
414,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
415,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
416,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
417,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
418,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
