request_number,school
94,Höhere Lehranstalt für Produktmanagement und Präsentation
95,Handelsakademie
96,Höhere Lehranstalt für Mode
97,Handelsakademie
98,Höhere Lehranstalt für Kunst und Gestaltung
99,Höhere Lehranstalt für wirtschaftliche Berufe
100,Höhere Lehranstalt für Tourismus
101,Höhere Lehranstalt für Mode
102,Gymnasium
103,Höhere Lehranstalt für Produktmanagement und Präsentation
104,Höhere Lehranstalt für Tourismus
105,Höhere Lehranstalt für Kunst und Gestaltung
106,Höhere Lehranstalt für Kunst und Gestaltung
107,Höhere Lehranstalt für Kunst und Gestaltung
108,Unknown
109,Höhere Lehranstalt für wirtschaftliche Berufe
110,Höhere Lehranstalt für Tourismus
111,Höhere Lehranstalt für wirtschaftliche Berufe
112,Höhere Lehranstalt für Pflege und Sozialbetreuung
113,Handelsakademie
114,Höhere Lehranstalt für Tourismus
115,Handelsakademie
116,Handelsakademie
117,Höhere Lehranstalt für Tourismus
118,Höhere Lehranstalt für Mode
119,Höhere Lehranstalt für Tourismus
120,Höhere Lehranstalt für wirtschaftliche Berufe
121,Höhere Lehranstalt für Kunst und Gestaltung
122,Höhere Lehranstalt für Land- und Forstwirtschaft
123,Handelsakademie
124,Handelsakademie
125,Handelsakademie
126,Höhere Lehranstalt für Kunst und Gestaltung
127,Handelsakademie
128,Höhere Lehranstalt für Mode
129,Höhere Lehranstalt für Mode
130,Gymnasium
131,Höhere Lehranstalt für Tourismus
132,Höhere Lehranstalt für Mode
133,Höhere technische und gewerbliche Lehranstalt
134,Höhere Lehranstalt für Tourismus
135,Handelsakademie
136,Höhere Lehranstalt für Tourismus
137,Handelsakademie
138,Höhere Lehranstalt für Pflege und Sozialbetreuung
139,Höhere Lehranstalt für Kunst und Gestaltung
140,Höhere Lehranstalt für Mode
141,Handelsakademie
142,Höhere Lehranstalt für Kunst und Gestaltung
143,Handelsakademie
144,Höhere Lehranstalt für Produktmanagement und Präsentation
145,Handelsakademie
146,Höhere Lehranstalt für Produktmanagement und Präsentation
147,Höhere Lehranstalt für Kunst und Gestaltung
148,Höhere Lehranstalt für Kunst und Gestaltung
149,Höhere Lehranstalt für Kunst und Gestaltung
150,Handelsakademie
151,Handelsakademie
152,Höhere Lehranstalt für wirtschaftliche Berufe
153,Höhere Lehranstalt für Mode
154,Höhere Lehranstalt für Mode
155,Höhere Lehranstalt für Kunst und Gestaltung
156,Höhere Lehranstalt für Kunst und Gestaltung
157,Höhere Lehranstalt für Tourismus
158,Handelsakademie
159,Handelsakademie
160,Handelsakademie
161,Höhere Lehranstalt für Tourismus
162,Höhere Lehranstalt für Kunst und Gestaltung
163,Höhere Lehranstalt für Kunst und Gestaltung
164,Höhere Lehranstalt für Kunst und Gestaltung
165,Höhere Lehranstalt für Kunst und Gestaltung
166,Höhere Lehranstalt für Tourismus
167,Höhere Lehranstalt für Kunst und Gestaltung
168,Höhere Lehranstalt für Mode
169,Höhere Lehranstalt für Tourismus
170,Handelsakademie
171,Handelsakademie
172,Höhere Lehranstalt für Kunst und Gestaltung
173,Höhere Lehranstalt für Tourismus
174,Handelsakademie
175,Höhere Lehranstalt für Mode
176,Höhere Lehranstalt für wirtschaftliche Berufe
177,Höhere Lehranstalt für Land- und Forstwirtschaft
178,Höhere Lehranstalt für Kunst und Gestaltung
179,Höhere Lehranstalt für Kunst und Gestaltung
180,Höhere Lehranstalt für Kunst und Gestaltung
181,Handelsakademie
182,Höhere Lehranstalt für Kunst und Gestaltung
183,Gymnasium
184,Höhere Lehranstalt für Tourismus
185,Höhere Lehranstalt für Tourismus
186,Höhere Lehranstalt für Kunst und Gestaltung
187,Unknown
188,Höhere Lehranstalt für Mode
189,Gymnasium
190,Handelsakademie
191,Handelsakademie
192,Handelsakademie
193,Höhere Lehranstalt für Kunst und Gestaltung
194,Höhere Lehranstalt für Kunst und Gestaltung
195,Höhere Lehranstalt für Mode
196,Höhere Lehranstalt für Mode
197,Höhere Lehranstalt für Tourismus
198,Handelsakademie
199,Höhere Lehranstalt für Kunst und Gestaltung
200,Höhere Lehranstalt für Kunst und Gestaltung
201,Handelsakademie
202,Höhere Lehranstalt für Mode
203,Höhere Lehranstalt für Tourismus
204,Gymnasium
205,Höhere Lehranstalt für wirtschaftliche Berufe
206,Handelsakademie
207,Höhere Lehranstalt für Mode
208,Höhere Lehranstalt für Tourismus
209,Höhere Lehranstalt für Kunst und Gestaltung
210,Höhere Lehranstalt für Kunst und Gestaltung
211,Handelsakademie
212,Höhere Lehranstalt für Produktmanagement und Präsentation
213,Höhere Lehranstalt für Kunst und Gestaltung
214,Höhere Lehranstalt für Tourismus
215,Handelsakademie
216,Höhere Lehranstalt für Kunst und Gestaltung
217,Höhere Lehranstalt für Tourismus
218,Handelsakademie
219,Höhere Lehranstalt für Tourismus
220,Höhere Lehranstalt für Tourismus
221,Höhere Lehranstalt für Produktmanagement und Präsentation
222,Höhere Lehranstalt für Tourismus
223,Höhere Lehranstalt für Mode
224,Höhere Lehranstalt für Tourismus
225,Höhere Lehranstalt für Mode
226,Höhere Lehranstalt für Kunst und Gestaltung
227,Handelsakademie
228,Höhere Lehranstalt für Mode
229,Höhere Lehranstalt für Kunst und Gestaltung
230,Höhere Lehranstalt für Pflege und Sozialbetreuung
231,Höhere Lehranstalt für Kunst und Gestaltung
232,Höhere Lehranstalt für Kunst und Gestaltung
233,Höhere Lehranstalt für Kunst und Gestaltung
234,Gymnasium
235,Handelsakademie
236,Höhere Lehranstalt für Kunst und Gestaltung
237,Höhere Lehranstalt für Kunst und Gestaltung
238,Höhere Lehranstalt für Pflege und Sozialbetreuung
239,Höhere Lehranstalt für Kunst und Gestaltung
240,Höhere Lehranstalt für wirtschaftliche Berufe
241,Handelsakademie
242,Handelsakademie
243,Handelsakademie
244,Höhere Lehranstalt für Kunst und Gestaltung
245,Höhere Lehranstalt für Mode
246,Handelsakademie
247,Handelsakademie
248,Höhere Lehranstalt für Pflege und Sozialbetreuung
249,Höhere Lehranstalt für wirtschaftliche Berufe
250,Höhere Lehranstalt für Kunst und Gestaltung
251,Höhere Lehranstalt für wirtschaftliche Berufe
252,Handelsakademie
253,Höhere Lehranstalt für Mode
254,Höhere Lehranstalt für Kunst und Gestaltung
255,Handelsakademie
256,Höhere Lehranstalt für Kunst und Gestaltung
257,Höhere Lehranstalt für Tourismus
258,Höhere Lehranstalt für Tourismus
259,Handelsakademie
260,Handelsakademie
261,Höhere Lehranstalt für Kunst und Gestaltung
262,Höhere Lehranstalt für Tourismus
263,Höhere Lehranstalt für Kunst und Gestaltung
264,Höhere Lehranstalt für Tourismus
265,Höhere Lehranstalt für Kunst und Gestaltung
266,Höhere Lehranstalt für Tourismus
267,Höhere Lehranstalt für Kunst und Gestaltung
268,Höhere Lehranstalt für Kunst und Gestaltung
269,Höhere Lehranstalt für Kunst und Gestaltung
270,Höhere Lehranstalt für Kunst und Gestaltung
271,Höhere Lehranstalt für Mode
272,Höhere Lehranstalt für Land- und Forstwirtschaft
273,Höhere Lehranstalt für Land- und Forstwirtschaft
274,Höhere Lehranstalt für Kunst und Gestaltung
275,Höhere Lehranstalt für Tourismus
276,Gymnasium
277,Handelsakademie
278,Höhere Lehranstalt für Kunst und Gestaltung
279,Handelsakademie
280,Höhere Lehranstalt für Mode
281,Höhere Lehranstalt für Kunst und Gestaltung
282,Höhere Lehranstalt für Pflege und Sozialbetreuung
283,Höhere Lehranstalt für Produktmanagement und Präsentation
284,Handelsakademie
285,Handelsakademie
286,Höhere Lehranstalt für wirtschaftliche Berufe
287,Höhere Lehranstalt für Mode
288,Höhere Lehranstalt für wirtschaftliche Berufe
289,Handelsakademie
290,Höhere Lehranstalt für Mode
291,Höhere Lehranstalt für wirtschaftliche Berufe
292,Höhere Lehranstalt für Tourismus
293,Höhere Lehranstalt für Kunst und Gestaltung
294,Höhere Lehranstalt für Pflege und Sozialbetreuung
295,Handelsakademie
296,Handelsakademie
297,Höhere Lehranstalt für Kunst und Gestaltung
298,Handelsakademie
299,Handelsakademie
300,Handelsakademie
301,Höhere Lehranstalt für Mode
302,Höhere Lehranstalt für Tourismus
303,Handelsakademie
304,Höhere technische und gewerbliche Lehranstalt
305,Handelsakademie
306,Höhere Lehranstalt für Kunst und Gestaltung
307,Höhere Lehranstalt für Kunst und Gestaltung
308,Höhere Lehranstalt für Mode
309,Höhere Lehranstalt für Produktmanagement und Präsentation
310,Handelsakademie
311,Handelsakademie
312,Handelsakademie
313,Höhere Lehranstalt für Pflege und Sozialbetreuung
314,Handelsakademie
315,Handelsakademie
316,Handelsakademie
317,Höhere Lehranstalt für Pflege und Sozialbetreuung
318,Handelsakademie
319,Handelsakademie
320,Höhere Lehranstalt für Mode
321,Höhere Lehranstalt für Pflege und Sozialbetreuung
322,Handelsakademie
323,Höhere Lehranstalt für Kunst und Gestaltung
324,Höhere Lehranstalt für Produktmanagement und Präsentation
325,Handelsakademie
326,Handelsakademie
327,Höhere Lehranstalt für Mode
328,Höhere Lehranstalt für Kunst und Gestaltung
329,Höhere Lehranstalt für Mode
330,Höhere Lehranstalt für Mode
331,Handelsakademie
332,Höhere Lehranstalt für Produktmanagement und Präsentation
333,Höhere Lehranstalt für Kunst und Gestaltung
334,Gymnasium
335,Höhere Lehranstalt für Mode
336,Gymnasium
337,Handelsakademie
338,Höhere Lehranstalt für wirtschaftliche Berufe
339,Höhere Lehranstalt für Pflege und Sozialbetreuung
340,Höhere Lehranstalt für Kunst und Gestaltung
341,Höhere Lehranstalt für Produktmanagement und Präsentation
342,Höhere Lehranstalt für Kunst und Gestaltung
343,Höhere Lehranstalt für Kunst und Gestaltung
344,Gymnasium
345,Höhere Lehranstalt für Tourismus
346,Gymnasium
347,Höhere Lehranstalt für Mode
348,Höhere Lehranstalt für wirtschaftliche Berufe
349,Höhere technische und gewerbliche Lehranstalt
350,Gymnasium
351,Höhere Lehranstalt für Kunst und Gestaltung
352,Höhere Lehranstalt für Kunst und Gestaltung
353,Höhere Lehranstalt für wirtschaftliche Berufe
354,Handelsakademie
355,Höhere Lehranstalt für Kunst und Gestaltung
356,Höhere Lehranstalt für Tourismus
357,Höhere Lehranstalt für Mode
358,Höhere Lehranstalt für Kunst und Gestaltung
359,Höhere Lehranstalt für Produktmanagement und Präsentation
360,Höhere Lehranstalt für Mode
361,Höhere Lehranstalt für Kunst und Gestaltung
362,Handelsakademie
363,Höhere Lehranstalt für Produktmanagement und Präsentation
364,Handelsakademie
365,Höhere Lehranstalt für Kunst und Gestaltung
366,Handelsakademie
367,Höhere Lehranstalt für Kunst und Gestaltung
368,Höhere Lehranstalt für Mode
369,Höhere Lehranstalt für Pflege und Sozialbetreuung
370,Handelsakademie
371,Höhere Lehranstalt für Tourismus
372,Handelsakademie
373,Höhere Lehranstalt für Tourismus
374,Handelsakademie
375,Handelsakademie
376,Höhere Lehranstalt für Produktmanagement und Präsentation
377,Höhere Lehranstalt für Tourismus
378,Höhere Lehranstalt für Kunst und Gestaltung
379,Gymnasium
380,Höhere Lehranstalt für Pflege und Sozialbetreuung
381,Gymnasium
382,Höhere Lehranstalt für Tourismus
383,Höhere Lehranstalt für Tourismus
384,Gymnasium
385,Höhere Lehranstalt für Mode
386,Handelsakademie
387,Höhere Lehranstalt für Kunst und Gestaltung
388,Höhere Lehranstalt für Mode
389,Höhere Lehranstalt für wirtschaftliche Berufe
390,Höhere Lehranstalt für Produktmanagement und Präsentation
391,Handelsakademie
392,Handelsakademie
393,Höhere Lehranstalt für wirtschaftliche Berufe
394,Höhere Lehranstalt für Mode
395,Handelsakademie
396,Höhere Lehranstalt für Kunst und Gestaltung
397,Höhere Lehranstalt für Produktmanagement und Präsentation
398,Höhere Lehranstalt für Tourismus
399,Höhere Lehranstalt für Tourismus
400,Höhere Lehranstalt für Kunst und Gestaltung
401,Höhere Lehranstalt für Produktmanagement und Präsentation
402,Höhere Lehranstalt für Tourismus
403,Höhere Lehranstalt für Tourismus
404,Höhere Lehranstalt für Produktmanagement und Präsentation
405,Handelsakademie
406,Handelsakademie
407,Höhere technische und gewerbliche Lehranstalt
408,Höhere Lehranstalt für Kunst und Gestaltung
409,Höhere Lehranstalt für Kunst und Gestaltung
410,Höhere technische und gewerbliche Lehranstalt
411,Höhere Lehranstalt für Kunst und Gestaltung
412,Höhere Lehranstalt für Tourismus
413,Handelsakademie
414,Höhere Lehranstalt für Tourismus
415,Handelsakademie
416,Höhere Lehranstalt für Mode
417,Höhere Lehranstalt für wirtschaftliche Berufe
418,Höhere Lehranstalt für Mode
419,Handelsakademie
420,Höhere Lehranstalt für Pflege und Sozialbetreuung
421,Höhere Lehranstalt für Tourismus
422,Höhere Lehranstalt für Mode
423,Höhere Lehranstalt für Tourismus
424,Handelsakademie
425,Handelsakademie
426,Höhere Lehranstalt für Produktmanagement und Präsentation
427,Höhere Lehranstalt für Mode
428,Höhere Lehranstalt für Kunst und Gestaltung
429,Handelsakademie
430,Handelsakademie
431,Gymnasium
432,Höhere Lehranstalt für Pflege und Sozialbetreuung
433,Höhere Lehranstalt für Tourismus
434,Höhere Lehranstalt für Kunst und Gestaltung
435,Höhere Lehranstalt für Tourismus
436,Höhere Lehranstalt für Kunst und Gestaltung
437,Höhere Lehranstalt für Produktmanagement und Präsentation
438,Handelsakademie
439,Höhere Lehranstalt für Tourismus
440,Höhere Lehranstalt für Kunst und Gestaltung
441,Höhere Lehranstalt für Kunst und Gestaltung
442,Höhere Lehranstalt für Kunst und Gestaltung
443,Höhere Lehranstalt für Tourismus
444,Höhere Lehranstalt für Kunst und Gestaltung
445,Handelsakademie
446,Höhere Lehranstalt für Kunst und Gestaltung
447,Höhere Lehranstalt für Produktmanagement und Präsentation
448,Höhere Lehranstalt für Tourismus
449,Höhere Lehranstalt für Kunst und Gestaltung
450,Höhere Lehranstalt für Tourismus
451,Höhere Lehranstalt für Land- und Forstwirtschaft
452,Höhere Lehranstalt für Pflege und Sozialbetreuung
453,Höhere Lehranstalt für wirtschaftliche Berufe
454,Höhere Lehranstalt für Kunst und Gestaltung
455,Höhere Lehranstalt für Land- und Forstwirtschaft
456,Handelsakademie
457,Höhere Lehranstalt für Mode
458,Höhere Lehranstalt für Kunst und Gestaltung
459,Handelsakademie
460,Handelsakademie
461,Handelsakademie
462,Handelsakademie
463,Handelsakademie
464,Handelsakademie
465,Höhere Lehranstalt für Pflege und Sozialbetreuung
466,Handelsakademie
467,Handelsakademie
468,Höhere Lehranstalt für Tourismus
469,Höhere Lehranstalt für Mode
470,Handelsakademie
471,Handelsakademie
472,Höhere Lehranstalt für Kunst und Gestaltung
473,Höhere Lehranstalt für Kunst und Gestaltung
474,Höhere Lehranstalt für Tourismus
475,Höhere Lehranstalt für Tourismus
476,Höhere Lehranstalt für Kunst und Gestaltung
477,Höhere Lehranstalt für Kunst und Gestaltung
478,Höhere Lehranstalt für Pflege und Sozialbetreuung
479,Höhere Lehranstalt für Kunst und Gestaltung
480,Höhere Lehranstalt für Produktmanagement und Präsentation
481,Höhere technische und gewerbliche Lehranstalt
482,Handelsakademie
483,Höhere Lehranstalt für Tourismus
484,Höhere Lehranstalt für Produktmanagement und Präsentation
485,Höhere Lehranstalt für Produktmanagement und Präsentation
486,Handelsakademie
487,Höhere Lehranstalt für Kunst und Gestaltung
488,Höhere Lehranstalt für Produktmanagement und Präsentation
489,Höhere Lehranstalt für Kunst und Gestaltung
490,Höhere Lehranstalt für Kunst und Gestaltung
491,Höhere Lehranstalt für Tourismus
492,Höhere Lehranstalt für wirtschaftliche Berufe
493,Handelsakademie
494,Handelsakademie
495,Höhere Lehranstalt für Kunst und Gestaltung
496,Höhere Lehranstalt für Produktmanagement und Präsentation
497,Höhere Lehranstalt für Tourismus
498,Höhere Lehranstalt für Kunst und Gestaltung
499,Höhere Lehranstalt für Mode
500,Höhere Lehranstalt für Produktmanagement und Präsentation
