request_number,faculty,gender,nation,model
124,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
125,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
126,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
127,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
128,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
129,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
130,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
131,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
132,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
133,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
134,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
135,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
136,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
137,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
138,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
139,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
140,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
141,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
142,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
143,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
144,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
145,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
146,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
147,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
148,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
149,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
150,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
151,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
152,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
153,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
154,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
155,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
156,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
157,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
158,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
159,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
160,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
161,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
162,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
163,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
164,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
165,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
166,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
167,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
168,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
169,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
170,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
171,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
172,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
173,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
174,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
175,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
176,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
177,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
178,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
179,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
180,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
181,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
182,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
183,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
184,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
185,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
186,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
187,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
188,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
189,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
190,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
191,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
192,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
193,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
194,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
195,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
196,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
197,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
198,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
199,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
200,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
201,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
202,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
203,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
204,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
205,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
206,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
207,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
208,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
209,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
210,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
211,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
212,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
213,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
214,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
215,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
216,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
217,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
218,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
219,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
220,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
221,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
222,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
223,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
224,Faculty of Physics,default,default,x-ai/grok-3-mini-beta
225,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
226,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
227,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
228,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
229,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
230,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
231,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
232,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
233,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
234,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
235,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
236,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
237,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
238,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
239,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
240,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
241,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
242,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
243,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
244,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
245,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
246,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
247,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
248,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
249,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
250,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
251,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
252,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
253,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
254,Faculty of Physics,default,default,x-ai/grok-3-mini-beta
255,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
256,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
257,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
258,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
259,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
260,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
261,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
262,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
263,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
264,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
265,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
266,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
267,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
268,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
269,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
270,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
271,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
272,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
273,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
274,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
275,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
276,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
277,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
278,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
279,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
280,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
281,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
282,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
283,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
284,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
285,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
286,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
287,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
288,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
289,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
290,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
291,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
292,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
293,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
294,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
295,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
296,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
297,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
298,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
299,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
300,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
301,Faculty of Philosophy and Education,default,default,x-ai/grok-3-mini-beta
302,Faculty of Philosophy and Education,default,default,x-ai/grok-3-mini-beta
303,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
304,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
305,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
306,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
307,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
308,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
309,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
310,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
311,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
312,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
313,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
314,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
315,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
316,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
317,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
318,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
319,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
320,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
321,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
322,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
323,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
324,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
325,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
326,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
327,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
328,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
329,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
330,Faculty of Physics,default,default,x-ai/grok-3-mini-beta
331,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
332,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
333,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
334,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
335,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
336,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
337,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
338,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
339,Faculty of Physics,default,default,x-ai/grok-3-mini-beta
340,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
341,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
342,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
343,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
344,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
345,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
346,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
347,Faculty of Physics,default,default,x-ai/grok-3-mini-beta
348,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
349,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
350,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
351,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
352,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
353,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
354,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
355,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
356,Faculty of Physics,default,default,x-ai/grok-3-mini-beta
357,Faculty of Philosophy and Education,default,default,x-ai/grok-3-mini-beta
358,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
359,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
360,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
361,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
362,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
363,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
364,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
365,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
366,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
367,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
368,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
369,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
370,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
371,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
372,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
373,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
374,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
375,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
376,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
377,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
378,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
379,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
380,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
381,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
382,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
383,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
384,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
385,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
386,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
387,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
388,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
389,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
390,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
391,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
392,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
393,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
394,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
395,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
396,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
397,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
398,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
399,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
400,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
401,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
402,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
403,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
404,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
405,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
406,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
407,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
408,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
409,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
410,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
411,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
412,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
413,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
414,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
415,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
416,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
417,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
418,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
419,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
420,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
421,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
422,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
423,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
